video_id,user_id,publishedAt,comment_text,likeCount
8tRtnY7i0i0,UCxCTpFPnG9Z0F0ZrcrkATIg,2024-11-19T19:55:24Z,Make your own videos like ours with the “life on film” app! Link in bio,1049
8tRtnY7i0i0,UCBqnp11hCm-miFHhMWEgO7A,2025-03-28T23:41:54Z,Aww look at them! 🥰 Great photos! 🎉,0
8tRtnY7i0i0,UCnb8yDL3T9F8pCpFH24Ynqg,2025-03-28T22:31:59Z,"This is weird 
She's just teen",0
8tRtnY7i0i0,UCho32dUq1pVQqmVT6jGRWoA,2025-03-28T21:45:08Z,from Vietnam with love❤,0
8tRtnY7i0i0,UCL3qYsQd-YG47iU1y5rLfvQ,2025-03-28T21:35:30Z,This one has got to be my favorite so far..if u want pictures of someone going to the corner store and back im your girl 😂😂,0
8tRtnY7i0i0,UCAXTD7GVGTTrxdq2Xx0rFZQ,2025-03-28T18:26:42Z,You guys should allow for longer clips of the photos. They go by wayy too quickly makes it pointless.,0
8tRtnY7i0i0,UCJ-OK6NtqhDT8JGvmq1uZ5Q,2025-03-28T16:35:48Z,Great film!!,0
8tRtnY7i0i0,UCjuxI2iLBbT1zkA6ft9NwOg,2025-03-28T15:33:13Z,What is this camera,0
8tRtnY7i0i0,UCl06spuwAjkYPFiJnicCDow,2025-03-28T11:30:48Z,OMG!!!!!!!!! Thats my sister going to giant to meet her BFF there!!!!!!!!,0
8tRtnY7i0i0,UC5gttE0IxZSAEXBbu_eQ2zg,2025-03-28T11:27:22Z,Nice photos! Camera brand?,0
8tRtnY7i0i0,UC12ZWXFcAdPO4oodB_qE0xQ,2025-03-28T09:44:55Z,I need trip,0
8tRtnY7i0i0,UCkftC1VLn_FTgBtt0QPG6kw,2025-03-28T00:22:38Z,young and free,0
8tRtnY7i0i0,UC95bXerfskjlqyyz_GUj6QA,2025-03-27T18:47:50Z,What a beautiful trip,0
8tRtnY7i0i0,UCYYYTU87K-r9JCRh5ZKvosQ,2025-03-27T17:55:57Z,❤ONE TAKE. I love this idea of capturing the one moment even though it may not be perfect. It happened.,0
8tRtnY7i0i0,UCwXEI3ASuuwAcpa7BpMjEpg,2025-03-27T11:20:20Z,Awesome photos,0
8tRtnY7i0i0,UCJYgY1UXgSAS3h_J4TLvL9A,2025-03-27T02:19:00Z,This is the coolest experiment! And ppl are like totally reconizing you more (so it is not so creepy) lol :-),0
